duration,dimension,definition,caption,licensedContent,projection
PT1H4M43S,2d,hd,false,True,rectangular
PT2M10S,2d,hd,false,True,rectangular
PT1H32M54S,2d,hd,false,True,rectangular
PT42M6S,2d,hd,false,True,rectangular
PT11M39S,2d,hd,false,True,rectangular
PT3M16S,2d,hd,false,False,rectangular
PT5M49S,2d,hd,false,True,rectangular
PT34M57S,2d,hd,false,True,rectangular
PT40M33S,2d,hd,false,True,rectangular
PT1H39M35S,2d,hd,false,True,rectangular
PT4M13S,2d,hd,false,True,rectangular
PT1H59M,2d,hd,false,True,rectangular
PT6M26S,2d,hd,false,True,rectangular
PT11M10S,2d,hd,false,True,rectangular
PT3M15S,2d,hd,false,True,rectangular
PT14M35S,2d,hd,false,True,rectangular
PT3M32S,2d,hd,false,True,rectangular
PT1M59S,2d,hd,false,True,rectangular
PT5M46S,2d,hd,false,True,rectangular
PT3M,2d,hd,false,True,rectangular
PT19M8S,2d,hd,false,True,rectangular
PT6M25S,2d,hd,false,True,rectangular
PT2M51S,2d,hd,false,True,rectangular
PT45M38S,2d,hd,false,True,rectangular
PT13M27S,2d,hd,false,True,rectangular
PT15M4S,2d,hd,false,True,rectangular
PT17M59S,2d,hd,false,True,rectangular
PT4M55S,2d,hd,false,True,rectangular
PT6M47S,2d,hd,false,True,rectangular
PT32M53S,2d,hd,false,True,rectangular
PT2M53S,2d,hd,false,True,rectangular
PT34M10S,2d,hd,false,True,rectangular
PT3M53S,2d,hd,false,True,rectangular
PT32M44S,2d,hd,false,True,rectangular
PT31M32S,2d,hd,false,True,rectangular
PT12M39S,2d,hd,false,True,rectangular
PT2H5M51S,2d,hd,false,True,rectangular
PT9M40S,2d,hd,false,True,rectangular
PT1H11M46S,2d,hd,false,True,rectangular
PT5M16S,2d,hd,false,True,rectangular
PT7M30S,2d,hd,false,True,rectangular
PT3M59S,2d,hd,false,True,rectangular
PT10M51S,2d,hd,false,True,rectangular
PT4M46S,2d,hd,false,True,rectangular
PT2M57S,2d,hd,false,True,rectangular
PT3M29S,2d,hd,false,False,rectangular
PT1H24M3S,2d,hd,false,True,rectangular
PT1H27M15S,2d,hd,false,True,rectangular
PT10M58S,2d,hd,false,True,rectangular
PT3H11M42S,2d,hd,false,True,rectangular
